post,url,person_name,post_content,hashtag1,hashtag2,hashtag3,hashtag4,hashtag5,hashtag6,hashtag7,hashtag8,hashtag9,hashtag10,likes,time
https://www.linkedin.com/posts/rick-weinberg-0b227a22_3-common-reasons-most-responsible-for-will-activity-7080236238544277504-N8O1?trk=posts_directory,https://www.linkedin.com/posts/rick-weinberg-0b227a22_3-common-reasons-most-responsible-for-will-activity-7080236238544277504-N8O1?trk=posts_directory,Rick Weinberg,"Inheritance laws differ quite a bit, depending on the jurisdiction. Inheritance laws within the same jurisdiction may also be applied differently, based on the specific circumstances of each different case. However, the reasons that most often lead to will and probate disputes are found to be very similar across all jurisdictions.",#fakesignature,#jurisdiction,#law,#legal,#probate,#ProbateClaims,#UnclearFamilyTies,#Will,,,,3w
https://www.linkedin.com/posts/rogersilveraceo_only-1-in-4-affluent-women-are-confident-activity-7079564329796177920-YUzX?trk=posts_directory,https://www.linkedin.com/posts/rogersilveraceo_only-1-in-4-affluent-women-are-confident-activity-7079564329796177920-YUzX?trk=posts_directory,"Roger A. Silvera,  LUTCF® FSCP ® CLTC ®",Only 1 in 4 affluent women are confident in making financial decisions on their own. Contact me for guidance on developing your financial roadmap to suit your needs now and in the future.,,,,,,,,,,,,4w
https://www.linkedin.com/posts/rick-weinberg-0b227a22_how-do-manuka-honey-and-manuka-oil-differs-activity-7080236898501197824-_9Fm?trk=posts_directory,https://www.linkedin.com/posts/rick-weinberg-0b227a22_how-do-manuka-honey-and-manuka-oil-differs-activity-7080236898501197824-_9Fm?trk=posts_directory,Rick Weinberg,"Manuka oil is known for its skin healing and antiseptic properties. Manuka honey and Manuka oil are two natural remedies that have shown promising results in clinical trials. There are numerous benefits of manuka honey along with manuka oil which the majority of us still don't know. In this blog, we'll explore how manuka honey, and manuka oil differ?
What is manuka honey?
Manuka",#antioxidants,#antisepticproperties,#bees,#manukahoney,#manukaoil,#Maori,#minerals,#naturalremedies,#NewZealand,#skinhealing,,3w
https://www.linkedin.com/posts/rick-weinberg-0b227a22_the-roadmap-to-financial-independence-trading-activity-7079511812454449152-QWhQ?trk=posts_directory,https://www.linkedin.com/posts/rick-weinberg-0b227a22_the-roadmap-to-financial-independence-trading-activity-7079511812454449152-QWhQ?trk=posts_directory,Rick Weinberg,"Many individuals aspire to achieve financial independence, and trading for a living is a path that has piqued the interest of countless aspiring entrepreneurs. The ability to generate income and build wealth through trading can provide individuals with a sense of freedom and control over their financial future.",#adaptation,#ContinualLearning,#education,#evaluate,#finance,#market,#monitor,#range,#realisticgoals,#riskmanagement,1,4w
https://www.linkedin.com/posts/rickbain_yes-i-like-the-embedded-energy-and-outside-activity-7079132423321501696-Wcve?trk=posts_directory,https://www.linkedin.com/posts/rickbain_yes-i-like-the-embedded-energy-and-outside-activity-7079132423321501696-Wcve?trk=posts_directory,Rick Bain,Yes I like the embedded energy and “outside the standards and guidelines” thinking. How about you ?,ow.ly/rEkc50OVuXm,,,,,,,,,,2,4w
https://www.linkedin.com/posts/rishadtobaccowala_it-is-not-where-work-takes-place-but-where-activity-7079547334610616320-gY-7?trk=posts_directory,https://www.linkedin.com/posts/rishadtobaccowala_it-is-not-where-work-takes-place-but-where-activity-7079547334610616320-gY-7?trk=posts_directory,Rishad Tobaccowala,"""It is not where work takes place but where work fits into life""

""It is now about life-work integration not about life-work balance""

There is a changed relationship between people and work driven by a) the existential crisis that was Covid which gave  people a new sense of agency over not just their personal lives but work lives  b) the completely different mindset of Gen-Z who will be a third of all employees and have not chosen to sacrifice themselves for their jobs and c) a declining population which is placing more power in the hands of employees and talent.

Heather E. McGowan 🏳️🌈🏳️⚧️ is the latest guest on What Next? a 30 minute ad free podcast which features guests who deliver actionable insights every minute. Heather who today is an author and speaker has worked in both business and academia and has been called by Tom Friedman an""Oasis of Insights""

She shares amazing ideas and thoughts on how managers cannot lead by using the ways they were lead, how coaching is key vs bossing because the future is about collaboration and not competition and Gen Z will spit your command into your face. 

We speak  how management/bosses make all the difference since 80 percent of people quit bosses not companies,  and your boss determines your mental well being.

And Heather notes Seth Godin's quote that the purpose of the hive is not to make honey but honey is a by-product of a well functioning hive when she speaks about culture.

If you are an employee, employer, teacher or just alive you will find this conversation useful and uplifting.

Here are links to Spotify and Apple but available wherever you listen:

Spotify:",https://lnkd.in/gKnedFJV,https://lnkd.in/g2jKxTMW,,,,,,,,,67,4w
https://www.linkedin.com/posts/bethencourt_joyful-ventures-accelerating-the-future-activity-7079580155001651201-PP0E?trk=posts_directory,https://www.linkedin.com/posts/bethencourt_joyful-ventures-accelerating-the-future-activity-7079580155001651201-PP0E?trk=posts_directory,Ryan Bethencourt,"Huge congratulations to Jenny, Milo and Blaine on their launch of their future of food fund, onwards 🌱 🌎 🚀",Joyful Ventures,Jennifer Stojkovic,Milo Runkle,Blaine Vess,Björn Öste,"Sandhya Sriram, PhD",Ryan Bethencourt,Arturo Elizondo,Vevolution,https://lnkd.in/db5wzRZD,10,4w
https://www.linkedin.com/posts/rick-weinberg-0b227a22_torontos-gaming-culture-where-virtual-meets-activity-7079511589388746752-gqyv?trk=posts_directory,https://www.linkedin.com/posts/rick-weinberg-0b227a22_torontos-gaming-culture-where-virtual-meets-activity-7079511589388746752-gqyv?trk=posts_directory,Rick Weinberg,"Toronto, a vibrant and diverse city in Canada, is renowned for its rich cultural tapestry, thriving arts scene, and bustling sports culture. However, beyond its well-known attractions, it also boasts a flourishing gaming culture that seamlessly blends virtual and real-world experiences.",#culture,#esports,#gaming,#GamingTournaments,#OnlineGaming,#socialphenomenon,,,,,2,4w
https://www.linkedin.com/posts/rishadtobaccowala_junk-websites-filled-with-ai-generated-text-activity-7079147987804819456--V0-?trk=posts_directory,https://www.linkedin.com/posts/rishadtobaccowala_junk-websites-filled-with-ai-generated-text-activity-7079147987804819456--V0-?trk=posts_directory,Rishad Tobaccowala,"“ People are using AI chatbots to fill junk websites with AI-generated text that attracts paying advertisers, according to a new report from the media research organization NewsGuard that was shared exclusively with MIT Technology Review. 

Over 140 major brands are paying for ads that end up on unreliable AI-written sites, likely without their knowledge. Ninety percent of the ads from major brands found on these AI-generated news sites were served by Google, though the company’s own policies prohibit sites from placing Google-served ads on pages that include “spammy automatically generated content.” The practice threatens to hasten the arrival of a glitchy, spammy internet that is overrun by AI-generated content, as well as wasting massive amounts of ad money.

Some of these new sites are more sophisticated and convincing than others, with AI-generated photos and bios of fake authors. And the problem is growing rapidly. NewsGuard, which evaluates the quality of websites across the internet, says it’s discovering around 25 new AI-generated sites each week. It’s found 217 of them in 13 languages since it started tracking the phenomenon in April.  “",https://www.linkedin.com/pulse/why-does-keep-happening-i-know-you-below-dr-augustine-fou,Samar Sengupta,Ushamrita Choudhury,M V S Murthy ( MVS ),Sudhamrita Choudhury-Sengupta,Rishad Tobaccowala,,,,,198,4w
https://www.linkedin.com/posts/robert-klinger_how-to-protect-your-pets-from-the-10-most-activity-7079065993003610112-4vHr?trk=posts_directory,https://www.linkedin.com/posts/robert-klinger_how-to-protect-your-pets-from-the-10-most-activity-7079065993003610112-4vHr?trk=posts_directory,"Robert Klinger, LUTCF, CPIA","From high temperatures to disease-carrying pests, veterinarians share how best to protect your four-legged friends this summer.",#pets,#pet,#summersafety,#animals,#petfsafety,#safetytips,#dogs,#cats,#rabbits,#birds,,4w
https://www.linkedin.com/posts/rayrowens_customer-expectations-are-higher-than-ever-activity-7079896318239801344-Blzb?trk=posts_directory,https://www.linkedin.com/posts/rayrowens_customer-expectations-are-higher-than-ever-activity-7079896318239801344-Blzb?trk=posts_directory,Ray Owens,"Customer expectations are higher than ever. When it comes to ecommerce shipping, customers want fast, convenient delivery options without breaking the bank. So, how can businesses live up to these demands?  
 
Introduce: Hybrid Shipping Solutions 👏 
 
- Utilize multiple carriers  
- Opt for cost-effective regional carriers  
- Implement smart routing algorithms  
 
End result: Faster deliveries, lower costs, and a satisfied customer base. 
 
Your thoughts? How have you optimized your shipping strategy to meet customer demands? Share your insights below! 📦✈️🌐",,,,,,,,,,,3,3w
